content,positive_prob,negative_prob,sentiment_class
【#因学生一句话武大花近10万买书#】12月10日，据武汉大学消息，近日有同学在社交媒体上发文感慨称，“武大真的太宠我了”。原来是因为学生一句话，武汉大学图书馆光速拿下价值99800元的《文明交流互鉴丛书》。记者打开学校图书馆荐书平台搜索该书发现，这本书荐购状态已经显示为“纸本书有馆藏”。 ...全文,0.978954,0.0210457,2
冬天的武汉大学，别有一番金黄的诗情与画意。  武汉大学的微博视频 ,0.9986,0.00139979,2
#武汉大学研究生新生开学典礼# 武汉大学研究生新生开学典礼，女孩演唱《若月亮还没来》说唱部分，点燃现场赢得全场掌声（来源：发现武汉）#解锁闪闪发光的你##热门视频# 宁波倪少的微博视频 ,0.0,0.0,-1
【“天冷了要好好吃饭” #学校悄悄给我转钱了#】最近，北京邮电大学有学生发现自己的饭卡里突然多了400元钱，还接到学校的一条通知，嘱咐他们天冷了一定要好好吃饭。湖州师范学院小葛的校园银行卡里也多了一份补助，而学校的叮嘱更是让她感动。武汉大学的部分学生不久前也收到了学校的短信，为校园 ...全文,0.992047,0.00795253,2
武汉大学研究生开学典礼，一首《若月亮没来》rap点燃全场。 赵俞锋的微博视频 ,0.998137,0.00186318,2
武汉大学表白墙#顺直男魅力时刻# ,0.0,0.0,-1
1987年，湖北。武汉大学的学生注册卡，雷军这钢笔字算什么水平？ ,0.116139,0.883861,0
2月份公司新招了一个武汉大学博士，高层次人才引进，本硕是电子科技大学，也是985学校，结果7月上旬就辞职了！  公司当时给出的待遇：月薪25K，年终4个月奖金，也就是给了16薪，年薪大概有40W。还有，每个月公司给1500元租房补贴（两年），每月500元餐补，100元话费，市每月有1500元租房补贴（三年）。 ...全文,0.824727,0.175273,2
我不会强迫我的孩子去读书，但我会告诉他：  - 哈尔滨工业大学的宿舍有免费清洗床上用品的服务，而且放假期间还包飞机、火车送学生回家。  - 厦门大学的宿舍就能听到海浪声，校门口就是美丽的白城沙滩。  - 上海交通大学的宿舍可以自己选择室友，而且洗衣机、洗鞋机、烘干机都配备齐全。  - 同济大学的 ...全文,0.0,0.0,-1
武汉大学教师:体制内就业并不难，至少有几十种路径！ 麒炜投资的微博视频 ,0.832793,0.167207,2
惊闻！武汉大学这次的举动太震撼了！ 谁能想到，武汉大学竟然如此雷厉风行，一次性清退了来自 44 个国家的 92 名外国留学生！ 这则消息如春雷炸响，一时间在国内外引起了广泛关注和热烈讨论。这不仅是对武汉大学学术严谨性和管理规范性的高度肯定，更是对我国高等教育国际化和规范化的重 ...全文,0.992568,0.00743152,2
【吃不完根本吃不完！#为了科研他们2天狂吃200斤小龙虾#】#小龙虾壳变身捕集微塑料小能手# 近日，武汉大学一科研团队发布了用小龙虾壳捕获微塑料的科研成果。为此，他们2天吃掉了200斤小龙虾。 小龙虾壳富含甲壳素，对微塑料有很强吸附捕获能力。科研团队把小龙虾壳进行两步酸碱处理，制作出三维多孔小 ...全文,0.0,0.0,-1
【#雷军分享武汉大学冬景#】#雷军晒武汉大学冬景#12月16日，雷军在社交平台分享了武汉大学冬景，配文：冬天的武汉大学，别有一番金黄的诗情与画意。@西部决策 西部决策的微博视频 ,0.99362,0.00637986,2
窦文涛在武汉大学131周年校友论坛上的即兴演讲 文史趣谈君的微博视频 ,0.989843,0.0101567,2
刘道玉：我当年被免去武汉大学校长的真实原因 ,0.0,0.0,-1
不禁想起了当年的武汉大学，不知那个卡扎菲思想研究中心的专家学者，而今安在？ ,0.119264,0.880736,0
【#3厘米钢钉穿透肋骨扎入男子心脏##医生剖心取钉救回53岁男子#】12月14日上午10时左右，53岁的朱师傅干活时误将一颗长达3厘米的钢钉打进胸腔，一阵剧痛后晕厥过去，生命岌岌可危。幸运的是，他被第一时间送往武汉大学中南医院，心外科团队紧急手术，切开心脏，将已经完全没入的钢钉完整取出，朱师傅生 ...全文,0.344052,0.655948,0
《红楼梦》成语“意出望外”，新老师曾在《成语英雄》复赛里用过它，2：1战胜了武汉大学生物学女博士赵雪雅……文学 ,0.0,0.0,-1
学校的短信居然还能退订 ,0.0493805,0.95062,0
【“天冷了要好好吃饭” #学校悄悄给我转钱了#】最近，北京邮电大学有学生发现自己的饭卡里突然多了400元钱，还接到学校的一条通知，嘱咐他们天冷了一定要好好吃饭。湖州师范学院小葛的校园银行卡里也多了一份补助，而学校的叮嘱更是让她感动。武汉大学的部分学生不久前也收到了学校的短信，为校园 ...全文,0.992047,0.00795253,2
小米手机拍摄的雷军#武汉中心城区将新添一条樱花大道# #武汉大学# #小米汽车# #su7# #小米su7#,0.0,0.0,-1
回猫警长靠演技 武汉·国立武汉大学 ,0.716628,0.283372,2
【#学校悄悄给转钱了##天冷了要好好吃饭#】最近，北京邮电大学有学生发现，自己的饭卡里突然多了400元，还接到学校的一条通知，嘱咐他们：天冷了，一定要好好吃饭。“学校悄悄给我转钱了”，这样的经历并非个案。武汉大学的部分学生，不久前也收到了学校的短信，说“学校了解到你在校生活可能存在 ...全文,0.209124,0.790876,0
今朝多磨砺。 武汉·武汉大学 ,0.0,0.0,-1
武汉大学人间正道是沧桑 张宝昌破解甲骨文官方拒绝承认 ,0.0233609,0.976639,0
《陈东升：创业30多年，我最深刻的体会》1983年8月，我26岁，从武汉大学毕业，提着上大学时朋友送的人造革皮箱，拎着一个装着洗漱用具的网兜，乘142次火车只身抵达北京，到现在已经四十余年。网页链接 ,0.993716,0.00628445,2
